age,class_hours,class_rating,class_device,study_hours,fitness_hours,sleep_hours,soc_media_hours,tv_hours,daily_meals,weight_change,health_probs,destress,gamer
26,1,3,Smartphone,1,0,8,3,0,3,Increased,NO,Listening to music,0
19,8,4,Smartphone,2,2,8,5,1,2,Decreased,YES,Dancing,0
18,4,1,Smartphone,0,1,8,2,0.3,3,Remain Constant,NO,Sketching,0
18,8,1,Smartphone,0,1,6,5,0,2,Decreased,NO,Online gaming,1
19,6,3,Laptop/Desktop,5,1,7,3,0.3,4,Increased,NO,Watching web series,0
19,6,1,Laptop/Desktop,2,0,8,2,0,3,Increased,NO,Listening to music,0
20,4,4,Smartphone,2,1,8,2,0.1,4,Remain Constant,NO,Cooking,0
18,5,1,Smartphone,0,0,7,1,0.5,3,Decreased,NO,Online gaming,1
19,6,3,Smartphone,4,1,6,5,2,3,Remain Constant,NO,Online gaming,1
18,8,4,Smartphone,2,0.25,7,1.5,1,3,Increased,NO,Talking,0
18,7,1,Smartphone,4,0,9,2,0,2,Decreased,NO,Online surfing,0
27,4,3,Smartphone,2,0,7,8,4,3,Increased,NO,Listening to music,0
20,4,4,Smartphone,2,1,8,2,0.1,4,Remain Constant,NO,Cooking,0
20,10,1,Laptop/Desktop,2,1,8,5,0,3,Remain Constant,NO,Scrolling through social media,0
17,4,4,Laptop/Desktop,2,1,10,6,4,4,Increased,NO,Listening to music,0
19,2,3,Laptop/Desktop,3,0.5,8,2,1,3,Increased,NO,Watching web series,0
20,4,1,Smartphone,2,0,10,1,0,3,Decreased,NO,Sleeping,0
19,1,4,Laptop/Desktop,2,0,8,1,0.3,3,Remain Constant,NO,Dancing,0
20,4,1,Laptop/Desktop,3,0,9,2,1,2,Remain Constant,NO,Scrolling through social media,0
21,5,3,Smartphone,3,1,8,4,0,4,Remain Constant,YES,Cooking,0
19,3,3,Smartphone,5,1,6,1,0,2,Remain Constant,NO,Reading books,0
23,2,1,Laptop/Desktop,1,1,7.5,1,2,3,Remain Constant,NO,Online gaming,1
26,0,1,Smartphone,0,0,12,2,2,2,Remain Constant,YES,Listening to music,0
21,8,1,Laptop/Desktop,1,1,9,2,0,3,Remain Constant,YES,Scrolling through social media,0
23,0,NA,NA,2,2,10,6,0,2,Remain Constant,NO,Listening to music,0
22,0,4,Laptop/Desktop,4,1,7,3,0,3,Increased,NO,Listening to music,0
11,2,5,Smartphone,1,0,10,3,2,3,Increased,NO,Online gaming,1
21,0,NA,NA,6,1,9,2,0.5,4,Increased,NO,Scrolling through social media,0
20,5,4,Laptop/Desktop,5,0,8,3,0,2,Remain Constant,NO,Reading,0
38,2,1,Laptop/Desktop,4,0,7,3,1,3,Increased,NO,Scrolling through social media,0
21,4,3,Smartphone,8,0,6,1,0,2,Decreased,YES,Online surfing,0
18,0,2,Smartphone,0,2,12,1,0,7,Increased,NO,Online gaming,1
20,0,NA,NA,2,0,7,0.5,2,2,Remain Constant,NO,Online surfing,0
23,2,3,Smartphone,2,0.3,8,1,NA,3,Decreased,NO,Meditation,0
20,3,4,Laptop/Desktop,2,1,10,2,0,4,Increased,NO,Sleeping,0
11,4,4,Smartphone,2,0,9,1,0,3,Remain Constant,NO,Sleeping,0
33,2,3,Smartphone,1,0,6,1,0.5,2,Remain Constant,NO,Meditation,0
21,0,NA,NA,1,1,11,8,3,3,Increased,NO,Listening to music,0
23,2,3,Laptop/Desktop,6,1,7,2,1,3,Increased,NO,Online gaming,1
14,3,4,Smartphone,1,0,8,3,1,4,Remain Constant,NO,Web Series,0
14,6,4,Tablet,2,0,8.3,1,2.5,3,Increased,NO,Online gaming,1
21,6,3,Smartphone,2,1,7,3,1,3,Decreased,NO,Reading books,0
23,10,3,Laptop/Desktop,1,0,8,8,1,3,Decreased,NO,Watching web series,0
19,1,3,Smartphone,0,0,8,6,2,2,Decreased,YES,Online gaming,1
24,0,3,Laptop/Desktop,10,1,8,1,0,3,Increased,NO,Talking to your relatives,0
17,3,3,Smartphone,2,1,8,5,3.5,1,Remain Constant,NO,Watching web series,0
21,4,4,Laptop/Desktop,10,1,7,3,0,3,Remain Constant,YES,Listening to music,0
23,2,4,Smartphone,7,0,7,4,1,4,Increased,NO,Dancing,0
22,4,3,Laptop/Desktop,6,0,8,5,1,3,Increased,NO,Listening to music,0
22,2,1,Laptop/Desktop,1,0,8,4,0,2,Remain Constant,NO,Online gaming,1
20,4,1,Smartphone,3,1,8,5,2,4,Increased,NO,Reading books,0
16,3,3,Smartphone,3,0,10,5,3,4,Remain Constant,NO,Listening to music,0
15,2,4,Laptop/Desktop,2,0,11,5,0,3,Remain Constant,NO,Web Series,0
40,5,5,Laptop/Desktop,4,1,7,6,2,3,Remain Constant,NO,Listening to music,0
21,2,3,Laptop/Desktop,3,1,8,6,2,3,Remain Constant,NO,Dancing,0
22,1,1,Laptop/Desktop,6,0,6,2,0,2,Increased,YES,Watching web series,0
21,2,1,Smartphone,2,0,7,1,1,3,Remain Constant,YES,Listening to music,0
26,9,1,Laptop/Desktop,2,0,5,3,1,3,Increased,NO,Reading books,0
22,1,3,Smartphone,1,0,9,3,0,3,Increased,NO,Listening to music,0
14,5,3,Tablet,3,1,6,4,0,2,Increased,YES,Listening to music,0
19,3,5,Smartphone,0,1,6,4,1,3,Remain Constant,NO,Listening to music,0
21,3,3,Smartphone,2,1,8,6,3,2,Remain Constant,NO,Painting,0
32,2,3,Smartphone,2,1,6,1,0,1,Remain Constant,NO,Listening to music,0
14,9,4,Smartphone,2,1,9,1,0,2,Remain Constant,NO,Online gaming,1
34,3,3,Smartphone,6,0,6,1,1,3,Remain Constant,NO,Listening to music,0
21,1,4,Laptop/Desktop,3,1,10,3,1,3,Increased,NO,Social Media,0
13,5,1,Smartphone,1,0.6,7,4,2,4,Decreased,NO,Listening to music,0
23,2,1,Smartphone,2,1,6,3,0,3,Increased,NO,Listening to music,0
13,4,4,Laptop/Desktop,2,0,10,3,0,4,Remain Constant,NO,Online gaming,1
22,4,3,Laptop/Desktop,3,1,7,1,2,3,Decreased,NO,Online gaming,1
9,5,5,Smartphone or Laptop/Desktop,2,0.6,7,1,0,4,Remain Constant,NO,Online gaming,1
14,5,3,Tablet,1,1,9,1,4,3,Increased,NO,Online gaming,1
10,5,3,Laptop/Desktop,2,1,9,1.5,1,4,Increased,NO,Online gaming,1
21,5,3,Laptop/Desktop,2,0,10,2,0.5,3,Increased,NO,Listening to music,0
23,2,3,Laptop/Desktop,6,2,7,4,2,4,Remain Constant,NO,Online surfing,0
19,5,3,Laptop/Desktop,2,0.5,8,2,1,3,Increased,NO,Listening to music,0
20,3,3,Smartphone,2,0,8,1,1,3,Remain Constant,NO,Meditation,0
39,2,5,Tablet,1,1,7,1,0.5,3,Remain Constant,NO,Cooking,0
19,5,3,Smartphone,6,2,5,4,0,3,Remain Constant,NO,Scrolling through social media,0
19,7,3,Laptop/Desktop,1,1,5,6,1,3,Remain Constant,NO,Dancing,0
21,6,3,Laptop/Desktop,2,1,8,5,2,2,Increased,NO,Reading books,0
21,1,4,Smartphone,5,0,7,2,2,2,Remain Constant,NO,Dancing,0
20,4,3,Laptop/Desktop,1,1,10,5,0.3,3,Decreased,NO,Online surfing,0
29,10,4,Laptop/Desktop,7,1,6,7,2,2,Remain Constant,NO,Web Series,0
20,5,4,Laptop/Desktop,1,1,8,1,1,4,Decreased,NO,Listening to music,0
23,0,4,Laptop/Desktop,0,0,8,3,0,1,Remain Constant,NO,Social Media,0
24,0,1,Smartphone,1,0,5,4,6,3,Decreased,YES,Scrolling through social media,0
21,2,1,Smartphone,3,0,8,4,1,3,Remain Constant,NO,Watching web series,0
21,5,3,Smartphone,3,1,11,3,2,3,Remain Constant,NO,Cooking,0
33,3,3,Smartphone,1,0,6,1,4,2,Decreased,YES,Sleeping,0
27,1,3,Laptop/Desktop,2,0,8,3,2,3,Increased,NO,Cooking,0
19,5,1,Smartphone,2,0,7,3,0,3,Increased,NO,Scrolling through social media,0
23,4,1,Laptop/Desktop,1,0,7,8,2,3,Decreased,NO,Online surfing,0
21,7,4,Any Gadget,7,0,10,3,0,3,Remain Constant,NO,Sleeping,0
19,8,1,Laptop/Desktop,2,1,6,2,0,3,Remain Constant,NO,Sleeping,0
19,5,1,Smartphone,2,0,6,3,0,1,Increased,NO,Online gaming,1
34,1,4,Smartphone,3,0.5,7,0,1,1,Remain Constant,NO,Listening to music,0
21,3,1,Laptop/Desktop,2,0,8,6,5,4,Increased,NO,Listening to music,0
26,1,3,Smartphone,3,1,8,4,0,3,Decreased,YES,Watching web series,0
14,2,4,Smartphone,2,1,8,3,1,3,Increased,NO,Sleeping,0
20,6,3,Laptop/Desktop,2,1,8,2,1,3,Remain Constant,NO,Sleeping,0
19,4,3,Laptop/Desktop,3,2,7,4,0,3,Decreased,NO,Online gaming,1
21,2,1,Smartphone,4,0,8,1,2,3,Increased,YES,Listening to music,0
20,2,3,Smartphone,3,0,12,7,1.5,4,Decreased,YES,Scrolling through social media,0
16,5,1,Smartphone,1,0,10,3,0,2,Decreased,NO,Scrolling through social media,0
28,3,4,Laptop/Desktop,2,1,8,4,1,3,Remain Constant,NO,Reading,0
22,5,3,Smartphone,4,1,8,2,1,2,Decreased,NO,Listening to music,0
22,6,1,Laptop/Desktop,4,0,8,2,0.5,4,Increased,NO,Sleeping,0
31,4,4,Laptop/Desktop,3,2,9,2,0,2,Decreased,NO,Talking,0
20,4,1,Smartphone,4,0,8,1,0,3,Remain Constant,NO,Meditation,0
36,5,4,Laptop/Desktop,4,1,5,1,1,2,Remain Constant,NO,Reading,0
20,8,3,Laptop/Desktop,5,1,5,3,0.5,3,Remain Constant,NO,Listening to music,0
21,5,3,Laptop/Desktop,2,0,9,1,2,3,Remain Constant,NO,Listening to music,0
19,10,3,Laptop/Desktop,3,1,5,1,0.5,4,Remain Constant,NO,Reading books,0
20,7,1,Laptop/Desktop,4,0,7,2,1,3,Remain Constant,NO,Online gaming,1
20,3,2,Smartphone,2,0,7,3,1,2,Decreased,YES,Watching web series,0
17,7,1,Smartphone,2,1,6,3,1,3,Increased,NO,Watching web series,0
21,3,1,Smartphone,4,1,5,2,0,3,Remain Constant,NO,Sleeping,0
20,4,3,Smartphone,3,1,7,1,1,2,Increased,NO,Meditation,0
19,2,3,Laptop/Desktop,2,1,9,2,1,4,Remain Constant,NO,Listening to music,0
